category,scenario,seed,success,episode_length,return,target_moves,obstacle_moves,successful_pushes,final_target_distance,final_obstacle_blocking
iid,iid_stage6,100084,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100085,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100086,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100087,0,200,-1.7000000000000013,0,8,8,7,0
iid,iid_stage6,100088,0,200,-1.7000000000000013,0,8,8,7,0
iid,iid_stage6,100089,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100090,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100091,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100092,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100093,0,200,-1.6000000000000012,2,0,2,5,3
iid,iid_stage6,100094,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100095,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100096,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100097,0,200,-1.7000000000000013,0,6,6,7,0
iid,iid_stage6,100098,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100099,0,200,-2.0000000000000013,0,3,3,7,3
iid,iid_stage6,100100,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100101,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100102,0,200,-1.7000000000000013,0,6,6,7,0
iid,iid_stage6,100103,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100104,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100105,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100106,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100107,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100108,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100109,0,200,-1.7000000000000013,0,6,6,7,0
iid,iid_stage6,100110,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100111,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100112,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100113,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100114,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100115,0,200,-2.0000000000000013,0,2,2,7,3
iid,iid_stage6,100116,0,200,-1.7000000000000013,0,6,6,7,0
iid,iid_stage6,100117,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100118,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100119,0,200,-1.6000000000000014,2,0,2,5,3
iid,iid_stage6,100120,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100121,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100122,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100123,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100124,0,200,-2.0000000000000013,0,1,1,7,3
iid,iid_stage6,100125,0,200,-2.0000000000000013,0,2,2,7,3
iid,iid_stage6,100126,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100127,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100128,0,200,-1.6000000000000012,2,0,2,5,3
iid,iid_stage6,100129,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100130,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100131,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100132,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100133,0,200,-2.0000000000000013,0,2,2,7,3
iid,iid_stage6,100134,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100135,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100136,0,200,-2.0000000000000013,0,2,2,7,3
iid,iid_stage6,100137,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100138,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100139,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100140,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100141,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100142,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100143,0,200,-1.7000000000000013,0,6,6,7,0
iid,iid_stage6,100144,0,200,-1.7000000000000013,0,6,6,7,0
iid,iid_stage6,100145,0,200,-1.6000000000000012,2,0,2,5,3
iid,iid_stage6,100146,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100147,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100148,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100149,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100150,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100151,0,200,-1.6000000000000012,2,0,2,5,3
iid,iid_stage6,100152,0,200,-2.0000000000000013,0,0,0,7,3
