scenario,seed,action_mode,success,episode_length,return,target_moves,obstacle_moves,successful_pushes,final_target_distance,final_obstacle_blocking
iid_stage6,100080,deterministic,0,200,-2.0000000000000013,0,0,0,7,3
iid_stage6,100081,deterministic,0,200,-1.7000000000000013,0,4,4,7,0
iid_stage6,100082,deterministic,0,200,-1.9000000000000015,0,3,3,7,2
iid_stage6,100083,deterministic,0,200,-1.9000000000000015,0,3,3,7,2
iid_stage6,100084,deterministic,0,200,-2.0000000000000013,0,0,0,7,3
iid_stage6,100085,deterministic,0,200,-2.0000000000000013,0,0,0,7,3
iid_stage6,100086,deterministic,0,200,-1.7000000000000013,0,4,4,7,0
iid_stage6,100087,deterministic,0,200,-1.7000000000000013,0,8,8,7,0
iid_stage6,100088,deterministic,0,200,-1.7000000000000013,0,8,8,7,0
iid_stage6,100089,deterministic,0,200,-2.0000000000000013,0,0,0,7,3
iid_stage6,100090,deterministic,0,200,-1.7000000000000013,0,7,7,7,0
iid_stage6,100091,deterministic,0,200,-1.7000000000000013,0,4,4,7,0
iid_stage6,100092,deterministic,0,200,-1.9000000000000015,0,3,3,7,2
iid_stage6,100093,deterministic,0,200,-1.6000000000000012,2,0,2,5,3
iid_stage6,100094,deterministic,0,200,-1.7000000000000013,0,7,7,7,0
iid_stage6,100095,deterministic,0,200,-1.9000000000000015,0,3,3,7,2
iid_stage6,100096,deterministic,0,200,-2.0000000000000013,0,0,0,7,3
iid_stage6,100097,deterministic,0,200,-1.7000000000000013,0,6,6,7,0
iid_stage6,100098,deterministic,0,200,-2.0000000000000013,0,0,0,7,3
iid_stage6,100099,deterministic,0,200,-2.0000000000000013,0,3,3,7,3
